ID;T_ID;T_Gen;T_sex;Month;Season;Year;Location;Beat;Prey_code_DV;P_Sp_code;P_species;Age_group;P_Sex_Code;P_Sex;Remarks;reserve_cl;reserve_nm;2km_OF_Village;250_OF_water
469;P111;2;1;5;S;2012;SOUTH HINAUTA;535;UK;8;UNKNOWN;UNKNOWN;3;UNKNOWN;KILL TIME 09.09 AM;1;HDL;1;1
470;P111;2;1;5;S;2012;KHARIYA;536;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
471;P111;2;1;6;S;2012;SOUTH HINAUTA;535;W;5;SAMBAR;ADULT;1;MALE;3 DAYS OLD KILL;2;core_area;0;0
472;P111;2;1;6;S;2012;BBC;1331;D;1;COW;ADULT;1;MALE;1 1/2 DAYS OLD KILL;2;core_area;0;0
473;P111;2;1;7;R;2012;KATARIA;1332;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
474;P111;2;1;7;R;2012;AKOLA REGION;400;W;4;NILGAI;UNKNOWN;1;MALE;SOUNDS HEARD AT 4.45 AM WHILE KILLING;1;buffer_zone;1;0
475;P111;2;1;7;R;2012;AKOLA;392;D;1;COW;ADULT;1;MALE;NO REMARKS;1;buffer_zone;1;0
476;P111;2;1;8;R;2012;JARGHOWA;381;W;4;NILGAI;UNKNOWN;1;MALE;1 DAY OLD KILL;2;core_area;0;0
477;P111;2;1;8;R;2012;RAJABARIYA;393;W;5;SAMBAR;ADULT;1;MALE;2 DAYS OLD KILL;2;core_area;0;0
478;P111;2;1;8;R;2012;RAJABARIYA;393;D;1;COW;ADULT;2;FEMALE;2 DAYS OLD KILL;2;core_area;1;0
479;P111;2;1;9;R;2012;RAJABARIYA;39;D;1;COW;YOUNG;2;FEMALE;FEMALE;1;buffer_zone;0;0
480;P111;2;1;9;R;2012;AKOLA REGION;399;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;buffer_zone;1;1
481;P111;2;1;9;R;2012;ITWAHTEK;1367;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
482;P111;2;1;9;R;2012;JASWANTPURA;1346;D;1;COW;ADULT;1;MALE;2 DAYS OLD KILL;1;buffer_zone;1;1
483;P111;2;1;10;R;2012;AKOLA REGION;392;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;buffer_zone;1;0
484;P111;2;1;10;R;2012;AKOLA REGION;392;D;1;COW;ADULT;1;MALE;NO REMARKS;1;buffer_zone;1;0
485;P111;2;1;10;R;2012;MAHUAMOD;1345;D;1;COW;ADULT;2;FEMALE;KILL IS OF 17.10.2012. AROUND 2 PM SOUNDS HEARD;2;core_area;1;0
486;P111;2;1;10;R;2012;MAHUAMOD;1325;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
487;P111;2;1;11;W;2012;TARA;1354;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;buffer_zone;0;0
488;P111;2;1;11;W;2012;TARA;1354;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;buffer_zone;0;0
489;P111;2;1;11;W;2012;TARA;1352;D;1;COW;ADULT;1;MALE;NO REMARKS;1;buffer_zone;1;0
490;P111;2;1;11;W;2012;TARA;1352;D;1;COW;ADULT;1;MALE;NO REMARKS;1;buffer_zone;1;0
491;P111;2;1;12;W;2012;TARA;1358;D;1;COW;ADULT;1;MALE;NO REMARKS;1;buffer_zone;0;0
492;P111;2;1;12;W;2012;RAMPURA lspqjh;1368;W;5;SAMBAR;ADULT;2;FEMALE;ALONG WITH P-213;2;core_area;0;0
493;P111;2;1;12;W;2012;RAMPURA lspqjh;1368;W;5;SAMBAR;YOUNG;3;UNKNOWN;ALONG WITH P-213;2;core_area;0;0
494;P111;2;1;12;W;2012;TARA;1352;D;2;BUFFALO;ADULT;2;FEMALE;ALONG WITH P-213;1;buffer_zone;1;0
495;P111;2;1;12;W;2012;TARA;1352;D;1;COW;YOUNG;3;UNKNOWN;MALE (ALONG WITH P-213);1;buffer_zone;1;0
496;P111;2;1;1;W;2013;RAMPURA lspqjh;1368;W;4;NILGAI;UNKNOWN;1;MALE;NO REMARKS;1;buffer_zone;0;0
497;P111;2;1;1;W;2013;RAMPURA;1363;D;1;COW;ADULT;1;MALE;NO REMARKS;1;buffer_zone;1;1
498;P111;2;1;1;W;2013;ITWAHTEK;1362;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
499;P111;2;1;2;W;2013;JARGHOWA;381;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
500;P111;2;1;2;W;2013;AKOLA;399;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
501;P111;2;1;2;W;2013;JARGHOWA;548;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
502;P111;2;1;2;W;2013;ITWAHTEK;1368;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
503;P111;2;1;3;S;2013;JARGHOWA;548;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
504;P111;2;1;3;S;2013;RAJABARIYA;393;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
505;P111;2;1;4;S;2013;RAMPURA;1363;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;1;0
506;P111;2;1;4;S;2013;MAHUAMOD;1340;D;1;COW;ADULT;1;MALE;AT 7.22 P-111 HAD KILLED IT. WITNESSED;2;core_area;0;0
507;P111;2;1;4;S;2013;MAHUAMOD;1340;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
508;P111;2;1;5;S;2013;RAMPURA;1356;W;5;SAMBAR;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
509;P111;2;1;5;S;2013;KANDWAHA;1350;D;1;COW;ADULT;2;FEMALE;1 DAY OLD KILL;2;core_area;1;0
